
2018-12-17 14:36:26: Comodo Secure DNS (8.26.56.26) says you are OFFLINE (failure 21, Offline for 3m)
2018-12-17 14:36:41: OpenDNS Home (208.67.222.222) says you are OFFLINE (failure 22, Offline for 3m)
2018-12-17 14:36:56: Cloudflare (1.0.0.1) says you are OFFLINE (failure 23, Offline for 3m)
2018-12-17 14:37:11: FreeDNS (37.235.1.177) says you are OFFLINE (failure 24, Offline for 4m)
2018-12-17 14:37:26: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 25, Offline for 4m)
2018-12-17 14:37:41: Dyn (216.146.35.35) says you are OFFLINE (failure 26, Offline for 4m)
2018-12-17 14:37:56: SafeDNS (195.46.39.39) says you are OFFLINE (failure 27, Offline for 4m)
2018-12-17 14:38:11: OpenNIC (172.98.193.42) says you are OFFLINE (failure 28, Offline for 4m)
2018-12-17 14:38:26: Yandex DNS (77.88.8.8) says you are OFFLINE (failure 29, Offline for 4m)
2018-12-17 14:38:41: UncensoredDNS (91.239.100.100) says you are OFFLINE (failure 30, Offline for 5m)
2018-12-17 14:38:56: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 31, Offline for 5m)
2018-12-17 14:39:11: puntCAT (109.69.8.51) says you are OFFLINE (failure 32, Offline for 5m)
---
2018-12-17 14:44:29: Alternate DNS (23.253.163.53) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:51:03: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:54:26: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:55:22: UncensoredDNS (89.233.43.71) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 14:59:30: CenturyLink (Level 3) (209.244.0.3) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 15:01:40: OpenNIC (172.98.193.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 15:10:58: Alternate DNS (198.101.242.72) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 15:11:33: OpenNIC (172.98.193.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 15:16:46: DNS Watch (84.200.70.40) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 15:31:52: puntCAT (109.69.8.51) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 15:51:04: UncensoredDNS (89.233.43.71) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 16:19:40: Alternate DNS (23.253.163.53) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 16:25:49: Cloudflare (1.1.1.1) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 16:29:06: Cloudflare (1.1.1.1) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 16:38:49: Cloudflare (1.1.1.1) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 16:40:47: CleanBrowsing (185.228.169.9) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 16:42:14: Cloudflare (1.1.1.1) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 16:49:39: OpenNIC (172.98.193.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 17:35:39: puntCAT (109.69.8.51) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 17:36:55: DNS Watch (84.200.70.40) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 17:39:03: puntCAT (109.69.8.51) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 17:42:11: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 18:05:08: Hurricane Electric (74.82.42.42) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 18:07:46: SafeDNS (195.46.39.40) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 18:16:49: OpenDNS Home (208.67.222.222) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 18:29:47: Comodo Secure DNS (8.20.247.20) says you are OFFLINE (failure 1, Offline for 0m)
2018-12-17 18:30:02: OpenDNS Home (208.67.222.222) says you are OFFLINE (failure 2, Offline for 0m)
2018-12-17 18:30:17: Cloudflare (1.1.1.1) says you are OFFLINE (failure 3, Offline for 0m)
2018-12-17 18:30:32: FreeDNS (45.33.97.5) says you are OFFLINE (failure 4, Offline for 0m)
